epoch,accuracy,loss,val_accuracy,val_loss
0,0.7314982414245605,0.6501685380935669,0.8966434597969055,0.2609890401363373
1,0.8942542672157288,0.26328182220458984,0.9302944540977478,0.18907856941223145
2,0.9179518818855286,0.21152710914611816,0.9347583651542664,0.1685253530740738
3,0.9286094307899475,0.18859319388866425,0.9461756348609924,0.14292332530021667
4,0.9369056820869446,0.16727422177791595,0.945918083190918,0.147711843252182
5,0.9407985806465149,0.16153550148010254,0.9504678249359131,0.13352398574352264
6,0.9451168775558472,0.14909636974334717,0.9516696929931641,0.12902937829494476
7,0.9483928680419922,0.1417521983385086,0.9454888701438904,0.14901070296764374
8,0.9501584768295288,0.13798180222511292,0.9466906785964966,0.14535832405090332
9,0.9512646794319153,0.13361194729804993,0.9554468393325806,0.1232687383890152
